time,ax,ay,az,wx,wy,wz
2026-03-11T13:55:56.911Z,0.0849,0.0033,0.2322,-0.0095,-0.0065,0.0029
2026-03-11T13:55:56.920Z,-0.0366,0.0440,-0.4784,-0.0050,-0.0179,0.0033
2026-03-11T13:55:56.930Z,0.0579,0.0131,0.1098,0.0014,0.0159,0.0034
2026-03-11T13:55:56.940Z,0.0015,0.0235,-0.2318,-0.0110,-0.0227,0.0037
2026-03-11T13:55:56.950Z,0.0145,0.0135,-0.1519,0.0020,0.0107,0.0034
2026-03-11T13:55:56.960Z,0.0301,0.0245,-0.0690,-0.0060,-0.0128,0.0032
2026-03-11T13:55:56.970Z,0.0041,0.0227,-0.2155,-0.0013,0.0008,0.0045
2026-03-11T13:55:56.980Z,0.0290,0.0148,-0.0619,-0.0030,-0.0043,0.0033
2026-03-11T13:55:56.990Z,0.0016,0.0267,-0.1964,-0.0021,-0.0061,0.0027
2026-03-11T13:55:57.005Z,0.0247,0.0196,-0.0926,-0.0025,-0.0009,0.0038
2026-03-11T13:55:57.010Z,0.0111,0.0195,-0.1697,-0.0068,-0.0068,0.0027
2026-03-11T13:55:57.020Z,0.0149,0.0219,-0.1239,-0.0026,-0.0012,0.0030
2026-03-11T13:55:57.030Z,0.0278,0.0195,-0.1392,-0.0064,-0.0062,0.0024
2026-03-11T13:55:57.041Z,0.0200,0.0320,-0.1302,-0.0047,-0.0030,0.0028
2026-03-11T13:55:57.050Z,0.0259,0.0114,-0.1238,-0.0033,-0.0058,0.0038
2026-03-11T13:55:57.060Z,0.0233,0.0210,-0.1464,-0.0034,-0.0059,0.0030
2026-03-11T13:55:57.070Z,0.0289,0.0203,-0.1298,-0.0037,-0.0033,0.0026
2026-03-11T13:55:57.080Z,0.0185,0.0229,-0.1365,-0.0054,-0.0053,0.0030
2026-03-11T13:55:57.092Z,0.0135,0.0346,-0.1296,-0.0032,-0.0039,0.0039
2026-03-11T13:55:57.100Z,0.0212,0.0196,-0.1281,-0.0040,-0.0056,0.0042
2026-03-11T13:55:57.110Z,0.0216,0.0185,-0.1446,-0.0028,-0.0040,0.0026
2026-03-11T13:55:57.120Z,0.0245,0.0290,-0.1118,-0.0035,-0.0050,0.0038
2026-03-11T13:55:57.131Z,0.0281,0.0246,-0.1441,-0.0045,-0.0051,0.0032
2026-03-11T13:55:57.140Z,0.0105,0.0149,-0.1311,-0.0039,-0.0047,0.0031
2026-03-11T13:55:57.153Z,0.0104,0.0165,-0.1299,-0.0035,-0.0047,0.0027
2026-03-11T13:55:57.160Z,0.0189,0.0145,-0.1296,-0.0037,-0.0031,0.0033
2026-03-11T13:55:57.170Z,0.0249,0.0298,-0.1437,-0.0023,-0.0063,0.0026
2026-03-11T13:55:57.180Z,0.0234,0.0201,-0.1379,-0.0025,-0.0044,0.0037
2026-03-11T13:55:57.190Z,0.0201,0.0282,-0.1301,-0.0046,-0.0033,0.0035
2026-03-11T13:55:57.202Z,0.0177,0.0219,-0.1461,-0.0020,-0.0026,0.0041
2026-03-11T13:55:57.210Z,0.0199,0.0040,-0.1347,-0.0032,-0.0049,0.0043
2026-03-11T13:55:57.220Z,0.0195,0.0096,-0.1392,-0.0041,-0.0034,0.0019
2026-03-11T13:55:57.230Z,0.0249,0.0301,-0.1325,-0.0019,-0.0039,0.0022
2026-03-11T13:55:57.240Z,0.0139,0.0078,-0.1385,-0.0027,-0.0038,0.0016
2026-03-11T13:55:57.252Z,0.0190,0.0268,-0.1323,-0.0031,-0.0062,0.0009
2026-03-11T13:55:57.260Z,0.0075,0.0266,-0.1356,-0.0036,-0.0041,0.0046
2026-03-11T13:55:57.270Z,0.0274,0.0275,-0.1326,-0.0027,-0.0053,0.0032
2026-03-11T13:55:57.280Z,0.0143,0.0250,-0.1331,-0.0019,-0.0052,0.0032
2026-03-11T13:55:57.290Z,0.0162,0.0123,-0.1272,-0.0033,-0.0041,0.0035
2026-03-11T13:55:57.302Z,0.0214,0.0289,-0.1211,-0.0028,-0.0040,0.0036
2026-03-11T13:55:57.310Z,0.0080,0.0307,-0.1370,-0.0050,-0.0037,0.0038
2026-03-11T13:55:57.320Z,0.0238,0.0220,-0.1239,-0.0023,-0.0049,0.0041
2026-03-11T13:55:57.330Z,0.0192,0.0123,-0.1265,-0.0025,-0.0036,0.0031
2026-03-11T13:55:57.340Z,0.0261,0.0227,-0.1341,-0.0031,-0.0053,0.0043
2026-03-11T13:55:57.351Z,0.0169,0.0147,-0.1331,-0.0023,-0.0037,0.0036
2026-03-11T13:55:57.360Z,0.0233,0.0164,-0.1331,-0.0027,-0.0049,0.0032
2026-03-11T13:55:57.370Z,0.0250,0.0126,-0.1371,-0.0029,-0.0024,0.0022
2026-03-11T13:55:57.380Z,0.0167,0.0129,-0.1353,-0.0021,-0.0072,0.0032
2026-03-11T13:55:57.390Z,0.0128,0.0267,-0.1374,-0.0037,-0.0042,0.0032
2026-03-11T13:55:57.400Z,0.0202,0.0177,-0.1371,-0.0019,-0.0057,0.0017
2026-03-11T13:55:57.410Z,0.0254,0.0153,-0.1414,-0.0004,-0.0042,0.0053
2026-03-11T13:55:57.420Z,0.0167,0.0149,-0.1325,-0.0020,-0.0051,0.0044
2026-03-11T13:55:57.430Z,0.0172,0.0135,-0.1419,-0.0042,-0.0045,0.0046
2026-03-11T13:55:57.440Z,0.0130,0.0200,-0.1256,-0.0024,-0.0065,0.0037
2026-03-11T13:55:57.450Z,0.0171,0.0081,-0.1404,-0.0020,-0.0032,0.0029
2026-03-11T13:55:57.460Z,0.0269,0.0158,-0.1182,-0.0034,-0.0053,0.0041
2026-03-11T13:55:57.470Z,0.0139,0.0170,-0.1287,-0.0021,-0.0038,0.0031
2026-03-11T13:55:57.480Z,0.0077,0.0063,-0.1224,-0.0036,-0.0047,0.0031
2026-03-11T13:55:57.490Z,0.0102,0.0306,-0.1381,-0.0029,-0.0044,0.0029
2026-03-11T13:55:57.500Z,0.0090,0.0123,-0.1347,-0.0042,-0.0045,0.0036
2026-03-11T13:55:57.510Z,0.0197,0.0117,-0.1341,-0.0024,-0.0051,0.0030
2026-03-11T13:55:57.520Z,0.0214,0.0090,-0.1332,-0.0028,-0.0036,0.0030
2026-03-11T13:55:57.530Z,0.0255,0.0225,-0.1423,-0.0016,-0.0044,0.0027
2026-03-11T13:55:57.540Z,0.0290,0.0172,-0.1547,-0.0024,-0.0042,0.0035
2026-03-11T13:55:57.550Z,0.0232,0.0182,-0.1459,-0.0031,-0.0058,0.0020
2026-03-11T13:55:57.560Z,0.0080,0.0120,-0.1389,-0.0016,-0.0063,0.0035
2026-03-11T13:55:57.570Z,0.0254,0.0039,-0.1372,-0.0022,-0.0089,0.0031
2026-03-11T13:55:57.580Z,0.0124,0.0142,-0.1261,-0.0011,-0.0031,0.0021
2026-03-11T13:55:57.590Z,0.0078,0.0221,-0.1425,0.0007,-0.0057,0.0030
2026-03-11T13:55:57.600Z,0.0157,0.0170,-0.1279,-0.0051,-0.0038,0.0033
